reference,objet_marche,budget,date_publication,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_administratif,documents_technique,documents_financier,conditions_participation,chef_mission_diplome,chef_mission_experience,chef_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025-3907,Fourniture de véhicules administratifs,16 239 181 DH,2025-07-22,Barid Al-Maghrib,"4, rue Patrick Hoarau, Rabat",+33 (0)5 24 59 52 58,0486028196,102 jours,24 jours,78 jours,Certificat de qualification et classification; Registre de commerce; Caution provisoire; Procuration (si applicable); Attestation fiscale,Planning d'exécution; Références similaires; Note technique détaillée; Attestations de formation; Certificats de conformité,Attestation bancaire; Devis quantitatif et estimatif; Acte d'engagement; Bordereau des prix unitaires,Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce,Ingénieur d'État,17 ans,Management d'équipe; Gestion de projet; Audit technique; Expertise sectorielle,Diplôme d'ingénieur,18 ans,Gestion de projet; Expertise sectorielle; Management d'équipe; Analyse technique,Master en management,7 ans,Normes ISO; Formation; Planification; Contrôle qualité,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-4795,Travaux de construction d'un centre de santé,39 435 353 DH,2025-08-08,Ministère de la Santé,"586, chemin de Albert, Kenitra",05 19 11 09 67,04 88 98 49 80,347 jours,79 jours,268 jours,Procuration (si applicable); Attestation CNSS; Registre de commerce; Caution provisoire,Note technique détaillée; Attestations de formation; Certificats de conformité; Références similaires,Attestation bancaire; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé,Diplôme d'ingénieur,9 ans,Analyse technique; Contrôle qualité; Planification; Expertise sectorielle; Management d'équipe,Ingénieur d'État,8 ans,Audit technique; Formation; Gestion de projet; Management d'équipe; Normes ISO,Diplôme d'ingénieur,13 ans,Expertise sectorielle; Gestion de projet; Contrôle qualité; Audit technique; Analyse technique,75%,25%,60%,75%,25%,True,www.marchespublics.gov.ma
AO-2025-1285,Services de sécurité et gardiennage,36 037 680 DH,2025-07-25,Royal Air Maroc,"chemin de Lenoir, Beni Mellal",0516523726,0175606581,290 jours,52 jours,238 jours,Registre de commerce; Attestation CNSS; Certificat de qualification et classification; Caution provisoire; Procuration (si applicable),Attestations de formation; CV des intervenants; Références similaires,Attestation bancaire; Chiffre d'affaires des 3 dernières années; Acte d'engagement,Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé,Ingénieur d'État,12 ans,Management d'équipe; Audit technique; Contrôle qualité; Normes ISO; Gestion de projet,Diplôme d'ingénieur,10 ans,Contrôle qualité; Formation; Analyse technique; Gestion de projet; Planification,Diplôme d'ingénieur,14 ans,Gestion de projet; Analyse technique; Planification,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
AO-2025-8068,Maintenance des équipements électriques,2 203 216 DH,2025-07-26,Ministère de l'Éducation,"614, boulevard Maggie Berger, Marrakech",+33 (0)3 80 78 40 82,+33 3 83 75 79 47,213 jours,80 jours,133 jours,Certificat de qualification et classification; Attestation fiscale; Procuration (si applicable),Références similaires; Planning d'exécution; CV des intervenants,Chiffre d'affaires des 3 dernières années; Acte d'engagement; Attestation bancaire,Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales,Master spécialisé,17 ans,Gestion de projet; Normes ISO; Contrôle qualité; Expertise sectorielle,MBA,8 ans,Planification; Management d'équipe; Formation; Expertise sectorielle; Contrôle qualité,Diplôme d'ingénieur,16 ans,Analyse technique; Management d'équipe; Normes ISO,66%,34%,60%,66%,34%,True,www.marchespublics.gov.ma
AO-2025-6079,Travaux de construction d'un centre de santé,32 895 874 DH,2025-07-16,Ministère de l'Éducation,"avenue de François, Oujda",+33 (0)5 24 87 66 68,0633230620,88 jours,26 jours,62 jours,Attestation fiscale; Registre de commerce; Attestation CNSS; Caution provisoire; Certificat de qualification et classification,Attestations de formation; Références similaires; Certificats de conformité; Planning d'exécution; Note technique détaillée,Acte d'engagement; Bilan des 3 dernières années; Devis quantitatif et estimatif,Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales,Diplôme d'ingénieur,8 ans,Management d'équipe; Normes ISO; Gestion de projet; Planification; Formation,Master spécialisé,9 ans,Contrôle qualité; Gestion de projet; Normes ISO; Planification; Management d'équipe,Master spécialisé,6 ans,Contrôle qualité; Audit technique; Expertise sectorielle,67%,33%,60%,67%,33%,True,www.marchespublics.gov.ma
AO-2025-4106,Services de sécurité et gardiennage,2 291 610 DH,2025-07-20,Barid Al-Maghrib,"6, rue de Boucher, Casablanca",0320751107,05 87 78 02 98,211 jours,20 jours,191 jours,Certificat de qualification et classification; Registre de commerce; Procuration (si applicable); Attestation CNSS; Attestation fiscale,Planning d'exécution; CV des intervenants; Attestations de formation; Note technique détaillée; Références similaires,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Acte d'engagement; Attestation bancaire,Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé,Diplôme d'ingénieur,5 ans,Audit technique; Gestion de projet; Analyse technique,MBA,19 ans,Management d'équipe; Expertise sectorielle; Planification,Doctorat,15 ans,Formation; Expertise sectorielle; Gestion de projet,61%,39%,60%,61%,39%,True,www.marchespublics.gov.ma
AO-2025-3285,Fourniture de mobilier de bureau,2 076 786 DH,2025-07-28,Ministère de l'Intérieur,"8, boulevard de Barre, Marrakech",06 34 29 40 03,+33 (0)3 57 61 28 16,280 jours,99 jours,181 jours,Certificat de qualification et classification; Registre de commerce; Procuration (si applicable),Note technique détaillée; Certificats de conformité; Attestations de formation; Références similaires; Planning d'exécution,Acte d'engagement; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Attestation bancaire,Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,Master spécialisé,10 ans,Planification; Contrôle qualité; Gestion de projet,MBA,9 ans,Management d'équipe; Contrôle qualité; Formation; Analyse technique,Doctorat,11 ans,Audit technique; Formation; Management d'équipe; Analyse technique,74%,26%,60%,74%,26%,True,www.marchespublics.gov.ma
AO-2025-8696,Fourniture de véhicules administratifs,4 838 634 DH,2025-07-14,Office National des Chemins de Fer,"97, rue de Noël, Tanger",+33 (0)2 79 27 93 02,07 62 87 13 04,112 jours,37 jours,75 jours,Caution provisoire; Certificat de qualification et classification; Attestation fiscale,CV des intervenants; Note technique détaillée; Références similaires,Bordereau des prix unitaires; Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années; Attestation bancaire,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Être inscrit au registre de commerce,Master en management,19 ans,Gestion de projet; Normes ISO; Planification; Analyse technique; Expertise sectorielle,Diplôme d'ingénieur,13 ans,Contrôle qualité; Audit technique; Expertise sectorielle; Normes ISO,Ingénieur d'État,20 ans,Analyse technique; Normes ISO; Audit technique,78%,22%,60%,78%,22%,True,www.marchespublics.gov.ma
AO-2025-1284,Travaux de rénovation de bâtiments,18 452 580 DH,2025-08-08,Ministère de la Santé,"chemin Renard, El Jadida",+33 2 98 73 56 45,03 63 57 33 86,269 jours,85 jours,184 jours,Procuration (si applicable); Attestation fiscale; Caution provisoire,Planning d'exécution; Certificats de conformité; Note technique détaillée; Attestations de formation; CV des intervenants,Acte d'engagement; Devis quantitatif et estimatif; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé,MBA,7 ans,Contrôle qualité; Audit technique; Expertise sectorielle; Management d'équipe; Normes ISO,Doctorat,15 ans,Gestion de projet; Expertise sectorielle; Audit technique,Diplôme d'ingénieur,10 ans,Audit technique; Planification; Normes ISO; Contrôle qualité; Gestion de projet,70%,30%,60%,70%,30%,True,www.marchespublics.gov.ma
AO-2025-2527,Prestation de services de nettoyage,41 593 815 DH,2025-07-31,Office National de l'Électricité et de l'Eau Potable,"93, rue de Leroux, Fès",+33 2 78 36 40 14,0250434869,323 jours,78 jours,245 jours,Attestation fiscale; Attestation CNSS; Procuration (si applicable),Note technique détaillée; Attestations de formation; Certificats de conformité; Planning d'exécution; CV des intervenants,Attestation bancaire; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum,Diplôme d'ingénieur,16 ans,Gestion de projet; Expertise sectorielle; Analyse technique,Doctorat,20 ans,Contrôle qualité; Audit technique; Normes ISO; Formation; Analyse technique,Master en management,7 ans,Gestion de projet; Normes ISO; Formation; Expertise sectorielle,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-6131,Étude technique pour l'aménagement urbain,25 777 458 DH,2025-07-12,Royal Air Maroc,"43, rue de Maury, Rabat",+33 1 45 30 13 52,+33 (0)2 62 39 23 32,327 jours,102 jours,225 jours,Certificat de qualification et classification; Caution provisoire; Attestation fiscale,Références similaires; Attestations de formation; Certificats de conformité,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Acte d'engagement,Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Être inscrit au registre de commerce,Doctorat,14 ans,Audit technique; Gestion de projet; Contrôle qualité; Management d'équipe; Normes ISO,Ingénieur d'État,19 ans,Planification; Management d'équipe; Contrôle qualité; Normes ISO; Audit technique,Master en management,9 ans,Planification; Expertise sectorielle; Analyse technique; Management d'équipe,75%,25%,60%,75%,25%,True,www.marchespublics.gov.ma
AO-2025-8127,Prestation de services de nettoyage,6 204 891 DH,2025-08-09,Office National des Chemins de Fer,"5, rue Françoise Pierre, Casablanca",01 69 83 22 43,0261756095,84 jours,34 jours,50 jours,Attestation fiscale; Procuration (si applicable); Certificat de qualification et classification,Note technique détaillée; CV des intervenants; Références similaires,Bilan des 3 dernières années; Acte d'engagement; Attestation bancaire,Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum,Ingénieur d'État,6 ans,Analyse technique; Contrôle qualité; Audit technique,Master spécialisé,5 ans,Management d'équipe; Gestion de projet; Contrôle qualité; Planification; Analyse technique,Master en management,18 ans,Management d'équipe; Audit technique; Analyse technique,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-6460,Fourniture et installation de matériel informatique,34 914 361 DH,2025-08-04,Ministère de l'Intérieur,"91, avenue de Coste, Fès",+33 3 59 42 91 11,+33 1 42 53 01 71,286 jours,116 jours,170 jours,Attestation fiscale; Attestation CNSS; Procuration (si applicable); Caution provisoire,Certificats de conformité; Planning d'exécution; CV des intervenants; Attestations de formation; Note technique détaillée,Acte d'engagement; Devis quantitatif et estimatif; Bilan des 3 dernières années,Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH,Ingénieur d'État,11 ans,Gestion de projet; Audit technique; Management d'équipe,Master spécialisé,17 ans,Audit technique; Gestion de projet; Normes ISO; Formation,Master spécialisé,15 ans,Management d'équipe; Normes ISO; Gestion de projet; Expertise sectorielle,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-8874,Fourniture de véhicules administratifs,45 149 800 DH,2025-08-05,Barid Al-Maghrib,"3, avenue Lecoq, Beni Mellal",+33 2 90 81 84 62,+33 3 23 26 38 26,313 jours,104 jours,209 jours,Caution provisoire; Certificat de qualification et classification; Attestation CNSS; Attestation fiscale,Certificats de conformité; Références similaires; Note technique détaillée; Attestations de formation,Bilan des 3 dernières années; Acte d'engagement; Bordereau des prix unitaires,Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum,Ingénieur d'État,18 ans,Gestion de projet; Normes ISO; Management d'équipe; Analyse technique,Master spécialisé,10 ans,Management d'équipe; Audit technique; Expertise sectorielle,MBA,8 ans,Formation; Normes ISO; Contrôle qualité; Planification; Management d'équipe,78%,22%,60%,78%,22%,True,www.marchespublics.gov.ma
AO-2025-1408,Étude technique pour l'aménagement urbain,25 659 724 DH,2025-08-04,Agence Nationale de la Conservation Foncière,"320, rue Patricia Dupré, Khouribga",+33 (0)4 74 69 79 22,+33 (0)3 58 89 36 38,214 jours,44 jours,170 jours,Certificat de qualification et classification; Procuration (si applicable); Caution provisoire; Attestation fiscale; Registre de commerce,Références similaires; Certificats de conformité; Attestations de formation; Planning d'exécution,Bordereau des prix unitaires; Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,Master en management,20 ans,Planification; Normes ISO; Audit technique; Gestion de projet,Master spécialisé,20 ans,Contrôle qualité; Management d'équipe; Normes ISO; Analyse technique; Gestion de projet,Doctorat,16 ans,Formation; Normes ISO; Planification,71%,29%,60%,71%,29%,True,www.marchespublics.gov.ma
